"Line Probe 3 copy: Position[X] (m)","Line Probe 3 copy: Turbulent Kinetic Energy (J/kg)"
0.20254000248908996,2.871293067932129
0.20241000244617463,2.871293067932129
0.20228000240325927,2.871293067932129
0.20215000236034394,2.638627767562866
0.2020200023174286,2.638627767562866
0.20189000227451326,2.395554780960083
0.2017600022315979,2.395554780960083
0.20163000218868257,2.395554780960083
0.20150000214576722,2.145350217819214
0.20137000210285186,2.145350217819214
0.20124000205993653,1.8915165662765503
0.20111000201702117,1.8915165662765503
0.20098000197410584,1.8915165662765503
0.20085000193119049,1.6377246379852295
0.20072000188827516,1.6377246379852295
0.2005900018453598,1.6377246379852295
0.20046000180244447,1.3875969648361206
0.2003300017595291,1.3875969648361206
0.20020000171661378,1.3875969648361206
0.20007000167369843,1.1445362567901611
0.19994000163078307,1.1445362567901611
0.19981000158786774,1.1445362567901611
0.19968000154495238,0.9115172028541565
0.19955000150203706,0.9115172028541565
0.1994200014591217,0.9115172028541565
0.19929000141620637,0.9115172028541565
0.199160001373291,0.6913804411888123
0.19903000133037568,0.6913804411888123
0.19890000128746033,0.6913804411888123
0.198770001244545,0.48703205585479736
0.19864000120162964,0.48703205585479736
0.1985100011587143,0.48703205585479736
0.19838000111579895,0.48703205585479736
0.1982500010728836,0.30168941617012024
0.19812000102996827,0.30168941617012024
0.1979900009870529,0.30168941617012024
0.19786000094413758,0.30168941617012024
0.19773000090122222,0.14332053065299988
0.1976000008583069,0.14332053065299988
0.19747000081539154,0.14332053065299988
0.1973400007724762,0.14332053065299988
0.19721000072956085,0.03812392055988312
0.19708000068664552,0.03812392055988312
0.19695000064373017,0.03812392055988312
0.19682000060081484,0.03812392055988312
0.19669000055789948,0.005689582321792841
0.19656000051498412,0.005689582321792841
0.1964300004720688,0.005689582321792841
0.19630000042915344,0.005689582321792841
0.1961700003862381,0.005689582321792841
0.19604000034332275,0.0010707807959988713
0.19591000030040742,0.0010707807959988713
0.19578000025749207,0.0010707807959988713
0.19565000021457674,0.0010707807959988713
0.19552000017166138,0.0010707807959988713
0.19539000012874605,6.725703133270144E-4
0.1952600000858307,6.725703133270144E-4
0.19513000004291536,6.725703133270144E-4
0.195,6.725703133270144E-4
0.20566000351905822,4.052334785461426
0.2055300034761429,4.105710983276367
0.20540000343322753,4.148857593536377
0.2052700033903122,4.179843425750732
0.20514000334739685,4.196743965148926
0.20501000330448152,4.197697162628174
0.20488000326156616,4.197697162628174
0.20475000321865083,4.1809611320495605
0.20462000317573548,4.144997596740723
0.20449000313282012,4.144997596740723
0.2043600030899048,4.088531017303467
0.20423000304698943,4.010603904724121
0.2041000030040741,4.010603904724121
0.20397000296115875,3.910634994506836
0.20384000291824342,3.788461685180664
0.20371000287532806,3.788461685180664
0.20358000283241273,3.6443097591400146
0.20345000278949738,3.6443097591400146
0.20332000274658205,3.4790380001068115
0.2031900027036667,3.4790380001068115
0.20306000266075133,3.2938878536224365
0.202930002617836,3.2938878536224365
0.20280000257492065,3.0905799865722656
0.20267000253200532,3.0905799865722656
0.20683000390529632,3.237281322479248
0.206700003862381,3.308178186416626
0.20657000381946564,3.4580328464508057
0.2064400037765503,3.5359606742858887
0.20631000373363495,3.6942451000213623
0.2061800036907196,3.772714853286743
0.20605000364780426,3.8492021560668945
0.2059200036048889,3.92234468460083
0.20579000356197358,3.990614175796509
0.20800000429153442,0.019896624609827995
0.20787000424861907,1.7232586145401
0.20774000420570374,2.4982428550720215
0.20761000416278838,2.600783586502075
0.20748000411987305,2.698308229446411
0.2073500040769577,2.762131929397583
0.20722000403404237,2.8858633041381836
0.207090003991127,2.987881898880005
0.20696000394821168,3.105320453643799
