"Line Probe 3 copy: Position[X] (m)","Line Probe 3 copy: Velocity: Magnitude (m/s)"
0.20254000248908996,2.397613873085906
0.20241000244617463,2.397613873085906
0.20228000240325927,2.397613873085906
0.20215000236034394,2.1436591535487426
0.2020200023174286,2.1436591535487426
0.20189000227451326,1.893793863884513
0.2017600022315979,1.893793863884513
0.20163000218868257,1.893793863884513
0.20150000214576722,1.6497959145234613
0.20137000210285186,1.6497959145234613
0.20124000205993653,1.4135916084822606
0.20111000201702117,1.4135916084822606
0.20098000197410584,1.4135916084822606
0.20085000193119049,1.1873394444622973
0.20072000188827516,1.1873394444622973
0.2005900018453598,1.1873394444622973
0.20046000180244447,0.973601898915992
0.2003300017595291,0.973601898915992
0.20020000171661378,0.973601898915992
0.20007000167369843,0.7757469403927688
0.19994000163078307,0.7757469403927688
0.19981000158786774,0.7757469403927688
0.19968000154495238,0.5989644271827268
0.19955000150203706,0.5989644271827268
0.1994200014591217,0.5989644271827268
0.19929000141620637,0.5989644271827268
0.199160001373291,0.4530057539169614
0.19903000133037568,0.4530057539169614
0.19890000128746033,0.4530057539169614
0.198770001244545,0.35601221867019667
0.19864000120162964,0.35601221867019667
0.1985100011587143,0.35601221867019667
0.19838000111579895,0.35601221867019667
0.1982500010728836,0.3283796868563747
0.19812000102996827,0.3283796868563747
0.1979900009870529,0.3283796868563747
0.19786000094413758,0.3283796868563747
0.19773000090122222,0.36168021881752976
0.1976000008583069,0.36168021881752976
0.19747000081539154,0.36168021881752976
0.1973400007724762,0.36168021881752976
0.19721000072956085,0.4079652952168025
0.19708000068664552,0.4079652952168025
0.19695000064373017,0.4079652952168025
0.19682000060081484,0.4079652952168025
0.19669000055789948,0.42338034339760794
0.19656000051498412,0.42338034339760794
0.1964300004720688,0.42338034339760794
0.19630000042915344,0.42338034339760794
0.1961700003862381,0.42338034339760794
0.19604000034332275,0.42283669712635735
0.19591000030040742,0.42283669712635735
0.19578000025749207,0.42283669712635735
0.19565000021457674,0.42283669712635735
0.19552000017166138,0.42283669712635735
0.19539000012874605,0.4196540352218832
0.1952600000858307,0.4196540352218832
0.19513000004291536,0.4196540352218832
0.195,0.4196540352218832
0.20566000351905822,5.926719410506658
0.2055300034761429,5.772285969857258
0.20540000343322753,5.606674047320705
0.2052700033903122,5.430019097229641
0.20514000334739685,5.242565945062577
0.20501000330448152,5.044676631436576
0.20488000326156616,5.044676631436576
0.20475000321865083,4.836828781759377
0.20462000317573548,4.619620257563893
0.20449000313282012,4.619620257563893
0.2043600030899048,4.393766766143971
0.20423000304698943,4.160100577705603
0.2041000030040741,4.160100577705603
0.20397000296115875,3.9195654005991645
0.20384000291824342,3.673210366217181
0.20371000287532806,3.673210366217181
0.20358000283241273,3.422185881401098
0.20345000278949738,3.422185881401098
0.20332000274658205,3.167736553196582
0.2031900027036667,3.167736553196582
0.20306000266075133,2.9111970112485004
0.202930002617836,2.9111970112485004
0.20280000257492065,2.65398763164014
0.20267000253200532,2.65398763164014
0.20683000390529632,6.925647155212622
0.206700003862381,6.882994074633419
0.20657000381946564,6.77120255964318
0.2064400037765503,6.701483520123906
0.20631000373363495,6.532797104998369
0.2061800036907196,6.433189598468748
0.20605000364780426,6.323008460025227
0.2059200036048889,6.202001513678937
0.20579000356197358,6.069939067519679
0.20800000429153442,0.2947005043694901
0.20787000424861907,3.9942618812543538
0.20774000420570374,5.887213305277789
0.20761000416278838,6.438720382338899
0.20748000411987305,6.827269363873089
0.2073500040769577,6.930669352783267
0.20722000403404237,7.006691092035703
0.207090003991127,7.012691590539698
0.20696000394821168,6.985627227824102
