"fluid: CF: Position[Y] (m)","fluid: CF: Specified Y+ Heat Transfer Coefficient (W/m^2-K)"
0.020473112011904562,115.60943603515625
0.020105464372536644,116.50328826904297
0.019748525059698457,117.32728576660156
0.01940198218016115,118.6497802734375
0.01906553292332733,119.90228271484375
0.018738883299178444,121.07727813720703
0.01842174788180688,122.17727661132812
0.01811384955637488,123.20227813720703
0.017814919279588975,124.14852142333984
0.017524695845705245,125.0210189819336
0.017242925656014457,125.8160171508789
0.016969362497813986,126.54226684570312
0.016703767330407078,127.197265625
0.016445908074593545,127.78726959228516
0.01619555941014498,128.31475830078125
0.015952502581296085,128.78225708007812
0.015716525202758135,129.15602111816406
0.015438070175438598,129.6472625732422
0.015113082437275986,129.97726440429688
0.014788095238095239,130.37850952148438
0.01446310861423221,130.6522674560547
0.014138122605363984,130.85226440429688
0.013813137254901962,130.97225952148438
0.013488152610441768,131.02476501464844
0.013163168724279833,130.9735107421875
0.012804429228113522,130.92225646972656
0.012401585918181248,130.6697540283203
0.011978616308214509,130.44601440429688
0.011534517637463043,130.07725524902344
0.011068238022879736,129.63726806640625
0.010578674378134527,129.12725830078125
0.010064670398792922,128.5547637939453
0.009525014714064374,127.9222640991211
0.008958439388838819,127.24351501464844
0.008363619090336477,126.55601501464844
0.007739171509174032,125.88101959228516
0.0070836601883713,125.22977447509766
0.006395602151919905,124.61727142333984
0.005673485679392535,124.09352111816406
0.004915811371071891,123.68102264404297
0.004121193063906168,123.37352752685547
0.0032886388885024088,123.23352813720703
0.002418518664163548,123.051025390625
0.001517434612789263,122.62102508544922
6.623197672866667E-4,119.59103393554688
0.06318701646290881,98.3260726928711
0.06157526805542136,99.85856628417969
0.06001046387209478,101.15606689453125
0.05849123660692821,102.18981170654297
0.057016258778323614,102.9098129272461
0.055584241569462726,103.24481201171875
0.054193933702759135,103.09606170654297
0.05284412034426585,102.38731384277344
0.05153362204357712,101.0710678100586
0.05026129370427504,99.11481475830078
0.04902602358135755,96.51107025146484
0.04782673231113594,93.40357971191406
0.04666237196770983,90.03483581542969
0.04553192514635788,86.71234130859375
0.04443440407698515,84.1558837890625
0.04336884975858524,83.5380630493164
0.0423343311221239,83.15563201904297
0.04132994421803118,83.00513458251953
0.04035481142411541,83.04415130615234
0.03940808068000456,83.2405776977539
0.03848892474359464,83.56073760986328
0.037596540466512646,83.97210693359375
0.036730148093027645,84.45536804199219
0.03588899057903936,85.0033187866211
0.0350723329299957,85.60630798339844
0.03427946155887159,86.25720977783203
0.03350968366210084,86.95661163330078
0.03276232661603428,87.70812225341797
0.032036737387419766,88.51377868652344
0.0313322819633176,89.37551879882812
0.030648344797105338,90.2989730834961
0.029984328269896388,91.2857437133789
0.02933965217002488,92.33677673339844
0.028713753185500554,93.45368194580078
0.028106084410484847,94.63249969482422
0.027516114868723778,95.87004852294922
0.02694332904955536,97.1661605834961
0.026387226456342065,98.5157241821289
0.025847321170456142,99.9063491821289
0.025323141426243433,101.32848358154297
0.024814229198497424,102.76927185058594
0.024320139802422865,104.21530151367188
0.023840441505116133,105.65365600585938
0.023374715148528694,107.07352447509766
0.0229225537834504,108.46444702148438
0.022483562312485845,109.81692504882812
0.022057357146508177,111.11935424804688
0.021643565868674025,112.36088562011719
0.021241826908361395,113.52860260009766
0.020851789227668366,114.61539459228516
0.06484711741900905,96.59857177734375
0.06655702149877456,94.72232818603516
0.06831822279386766,92.72982788085938
0.0701322602187583,90.65108489990234
0.07200071885622401,88.50358581542969
0.0739252313405263,86.29859161376953
0.07590747928547092,84.05734252929688
0.07794919475304046,81.79609680175781
0.08005216176698877,79.53235626220703
0.08221821787247725,77.27735900878906
0.08444925574065505,75.03361511230469
0.08674722482182083,72.81611633300781
0.08911413305103254,70.62862396240234
0.09155204860172317,68.48612213134766
0.09406310169184458,66.38362884521484
0.09664948644550354,64.33113098144531
0.09931346281060353,62.31613540649414
0.1020573585355008,60.34613800048828
0.10488357119808012,58.422393798828125
0.10779457030708066,56.54864501953125
0.11079289945195418,54.72739791870117
0.11388117853296202,52.95865249633789
0.11706210604580435,51.2486572265625
0.12033846144238901,49.5824089050293
0.12371310756040381,47.96116256713867
0.1271889931190329,46.38866424560547
0.1307691552987014,44.86491775512695
0.13445672239669168,43.387420654296875
0.1382549165619225,41.96492385864258
0.14216705660551024,40.579925537109375
0.14619656090067504,39.238677978515625
0.15034695036824572,37.93743133544922
0.15462185156673902,36.681182861328125
0.15902499985252752,35.46993637084961
0.1635602426300938,34.29368591308594
0.1682315427325586,33.157440185546875
0.17304298188650047,32.05369186401367
0.17799876425742486,30.98619270324707
0.18310322013513244,29.9499454498291
0.18836080972889105,28.943696975708008
0.19377612705260147,27.979948043823242
0.1993539039302378,27.10245132446289
0.20509901415127899,25.826202392578125
